Region,Country,Item Type,Sales Channel,Order ID,Units Sold,Unit Price,Unit Cost,Total Profit
Central America and the Caribbean,Cuba,Baby Food,Offline,228438222,8801,255.28,159.42,843663.86
Australia and Oceania,Vanuatu,Office Supplies,Offline,142340171,475,651.21,524.96,59968.75
Middle East and North Africa,Lebanon,Household,Offline,976855218,2022,668.27,502.54,335106.06
Sub-Saharan Africa,Guinea,Baby Food,Online,366407191,6885,255.28,159.42,659996.1
Middle East and North Africa,Iran,Fruits,Offline,965732419,538,9.33,6.92,1296.58
Europe,Albania,Household,Offline,999879729,5486,668.27,502.54,909194.78
Sub-Saharan Africa,Mali,Snacks,Online,114210450,6265,152.58,97.44,345452.1
Australia and Oceania,Australia,Household,Online,724398410,4442,668.27,502.54,736172.66
Central America and the Caribbean,Saint Lucia,Beverages,Online,366429936,3616,47.45,31.79,56626.56
Europe,Latvia,Cosmetics,Offline,246603858,4417,437.2,263.33,767983.79
Europe,Slovakia,Beverages,Online,291531503,9505,47.45,31.79,148848.3
Central America and the Caribbean,Jamaica,Snacks,Offline,498136699,8574,152.58,97.44,472770.36
Europe,Kosovo,Cereal,Offline,483655774,3346,205.7,117.11,296422.14
Sub-Saharan Africa,Guinea-Bissau,Cosmetics,Offline,835637557,2578,437.2,263.33,448236.86
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Offline,861943376,7054,9.33,6.92,17000.14
Europe,Armenia,Personal Care,Online,840747058,4593,81.73,56.67,115100.58
Sub-Saharan Africa,Mozambique,Cereal,Online,670534932,5042,205.7,117.11,446670.78
Sub-Saharan Africa,Mauritius ,Baby Food,Offline,320105826,5282,255.28,159.42,506332.52
Sub-Saharan Africa,Chad,Baby Food,Online,278571069,4225,255.28,159.42,405008.5
Europe,Bosnia and Herzegovina,Cosmetics,Offline,205354487,7811,437.2,263.33,1358098.57
Europe,Finland,Cereal,Online,280192410,4016,205.7,117.11,355777.44
Australia and Oceania,East Timor,Household,Online,753133666,7843,668.27,502.54,1299820.39
Asia,Kazakhstan,Vegetables,Offline,594539582,6329,154.06,90.93,399549.77
Asia,Philippines,Snacks,Online,645083987,3542,152.58,97.44,195305.88
Europe,Germany,Vegetables,Offline,465753209,5579,154.06,90.93,352202.27
Europe,Sweden,Personal Care,Online,587846076,5572,81.73,56.67,139634.32
Asia,Myanmar,Personal Care,Online,262973916,8680,81.73,56.67,217520.8
Asia,Laos,Clothes,Online,613060557,7097,109.28,35.84,521203.68
Europe,Armenia,Cereal,Offline,580342328,5046,205.7,117.11,447025.14
Australia and Oceania,Palau,Snacks,Offline,977368056,3782,152.58,97.44,208539.48
Middle East and North Africa,Saudi Arabia,Snacks,Offline,436999070,6591,152.58,97.44,363427.74
Central America and the Caribbean,Honduras,Cosmetics,Offline,362409198,3790,437.2,263.33,658967.3
Europe,Switzerland,Meat,Online,877084767,7728,421.89,364.69,442041.6
Sub-Saharan Africa,Chad,Clothes,Online,374824607,7785,109.28,35.84,571730.4
Sub-Saharan Africa,Togo,Office Supplies,Online,469740045,5373,651.21,524.96,678341.25
Middle East and North Africa,Azerbaijan,Vegetables,Offline,146254909,8932,154.06,90.93,563877.16
Europe,Norway,Clothes,Online,709105527,8938,109.28,35.84,656406.72
Asia,Vietnam,Office Supplies,Offline,833340728,2895,651.21,524.96,365493.75
Europe,San Marino,Meat,Online,614321839,339,421.89,364.69,19390.8
Asia,Myanmar,Vegetables,Offline,217722690,7837,154.06,90.93,494749.81
Europe,Ukraine,Cosmetics,Online,329529607,3988,437.2,263.33,693393.56
Sub-Saharan Africa,Burkina Faso,Cosmetics,Online,806041419,4423,437.2,263.33,769027.01
Europe,Ireland,Fruits,Online,223869454,6801,9.33,6.92,16390.41
Sub-Saharan Africa,Mozambique,Personal Care,Offline,829937541,5816,81.73,56.67,145748.96
Asia,Sri Lanka,Beverages,Online,891482007,8191,47.45,31.79,128271.06
Sub-Saharan Africa,Republic of the Congo,Cosmetics,Online,546051681,7682,437.2,263.33,1335669.34
Asia,Brunei,Baby Food,Offline,451507890,73,255.28,159.42,6997.78
Sub-Saharan Africa,Guinea,Cosmetics,Offline,436024463,8183,437.2,263.33,1422778.21
Central America and the Caribbean,Panama,Cosmetics,Online,848087728,6860,437.2,263.33,1192748.2
Sub-Saharan Africa,Angola,Household,Online,306496512,7984,668.27,502.54,1323188.32
Sub-Saharan Africa,Kenya,Beverages,Online,650362145,5466,47.45,31.79,85597.56
Europe,Czech Republic,Office Supplies,Offline,189108455,249,651.21,524.96,31436.25
Europe,Sweden,Fruits,Offline,452471768,5306,9.33,6.92,12787.46
Australia and Oceania,East Timor,Snacks,Online,340500915,642,152.58,97.44,35399.88
Asia,Philippines,Cosmetics,Online,173557221,8293,437.2,263.33,1441903.91
Sub-Saharan Africa,Togo,Office Supplies,Offline,342314517,7327,651.21,524.96,925033.75
Asia,Taiwan,Vegetables,Offline,857759130,8843,154.06,90.93,558258.59
Sub-Saharan Africa,Zimbabwe,Baby Food,Offline,901189887,969,255.28,159.42,92888.34
Europe,Germany,Cereal,Offline,174218118,3867,205.7,117.11,342577.53
Sub-Saharan Africa,Togo,Office Supplies,Offline,248767650,4731,651.21,524.96,597288.75
Sub-Saharan Africa,Sudan,Personal Care,Online,517074811,2782,81.73,56.67,69716.92
Asia,Indonesia,Fruits,Online,441688430,4277,9.33,6.92,10307.57
Australia and Oceania,Solomon Islands,Clothes,Offline,905469834,7500,109.28,35.84,550800
Sub-Saharan Africa,Equatorial Guinea,Household,Offline,161592853,7771,668.27,502.54,1287887.83
Middle East and North Africa,Libya,Fruits,Online,583543813,2437,9.33,6.92,5873.17
Sub-Saharan Africa,Burundi,Snacks,Online,115121543,5878,152.58,97.44,324112.92
Europe,Germany,Meat,Online,820437371,4505,421.89,364.69,257686
Sub-Saharan Africa,Mali,Office Supplies,Offline,333915126,1761,651.21,524.96,222326.25
Europe,Slovenia,Personal Care,Offline,410291135,3119,81.73,56.67,78162.14
Europe,Andorra,Baby Food,Offline,174614226,1085,255.28,159.42,104008.1
Sub-Saharan Africa,Zambia,Office Supplies,Online,172245728,194,651.21,524.96,24492.5
Europe,Vatican City,Snacks,Offline,118859469,2013,152.58,97.44,110996.82
Middle East and North Africa,Algeria,Clothes,Online,250441777,142,109.28,35.84,10428.48
Middle East and North Africa,Pakistan,Baby Food,Online,873291480,5210,255.28,159.42,499430.6
Asia,Indonesia,Beverages,Online,114019906,9879,47.45,31.79,154705.14
Europe,Belarus,Cosmetics,Offline,669550883,3840,437.2,263.33,667660.8
Central America and the Caribbean,Dominican Republic,Baby Food,Offline,357120740,8818,255.28,159.42,845293.48
Sub-Saharan Africa,Zimbabwe,Beverages,Offline,664278304,3567,47.45,31.79,55859.22
Asia,Uzbekistan,Cereal,Offline,898884904,8873,205.7,117.11,786059.07
Europe,United Kingdom,Personal Care,Online,439114367,2554,81.73,56.67,64003.24
Middle East and North Africa,Oman,Personal Care,Offline,983453023,4459,81.73,56.67,111742.54
Sub-Saharan Africa,Guinea-Bissau,Cosmetics,Online,700699698,1467,437.2,263.33,255067.29
Central America and the Caribbean,Nicaragua,Cereal,Offline,979965722,2489,205.7,117.11,220500.51
Central America and the Caribbean,Guatemala,Office Supplies,Online,580674922,3468,651.21,524.96,437835
Europe,Moldova ,Household,Online,582563626,2378,668.27,502.54,394105.94
Middle East and North Africa,Kuwait,Snacks,Offline,335680663,4223,152.58,97.44,232856.22
Sub-Saharan Africa,Zimbabwe,Vegetables,Online,610387361,6039,154.06,90.93,381242.07
Australia and Oceania,Palau,Clothes,Online,447357547,1894,109.28,35.84,139095.36
Central America and the Caribbean,Panama,Personal Care,Online,307577550,7887,81.73,56.67,197648.22
Central America and the Caribbean,Dominican Republic,Cosmetics,Online,722346198,7147,437.2,263.33,1242648.89
Europe,Latvia,Snacks,Online,943274819,4836,152.58,97.44,266657.04
Asia,Bangladesh,Beverages,Offline,292287242,3145,47.45,31.79,49250.7
Middle East and North Africa,Syria,Vegetables,Offline,411619794,6299,154.06,90.93,397655.87
Europe,Hungary,Office Supplies,Online,313821303,5552,651.21,524.96,700940
Europe,Slovakia,Beverages,Online,431753098,4191,47.45,31.79,65631.06
Asia,Tajikistan,Baby Food,Online,368589007,2533,255.28,159.42,242813.38
Sub-Saharan Africa,Benin,Vegetables,Offline,247815358,2926,154.06,90.93,184718.38
Australia and Oceania,East Timor,Clothes,Online,263230979,4751,109.28,35.84,348913.44
Central America and the Caribbean,Dominican Republic,Snacks,Offline,228947198,9418,152.58,97.44,519308.52
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,Offline,929387843,5371,154.06,90.93,339071.23
Europe,Bosnia and Herzegovina,Household,Online,969289243,3082,668.27,502.54,510779.86
Sub-Saharan Africa,Burundi,Office Supplies,Offline,823700225,56,651.21,524.96,7070
Asia,Sri Lanka,Clothes,Online,587982118,5830,109.28,35.84,428155.2
Middle East and North Africa,Pakistan,Cereal,Online,427808749,6971,205.7,117.11,617560.89
Central America and the Caribbean,The Bahamas,Household,Offline,129166448,2077,668.27,502.54,344221.21
Asia,India,Personal Care,Offline,448354041,6779,81.73,56.67,169881.74
Europe,Norway,Snacks,Offline,861982858,8738,152.58,97.44,481813.32
Asia,China,Meat,Online,916976726,2645,421.89,364.69,151294
Sub-Saharan Africa,Rwanda,Office Supplies,Online,680571973,5225,651.21,524.96,659656.25
Europe,Italy,Meat,Online,290317428,233,421.89,364.69,13327.6
Asia,India,Office Supplies,Online,404074418,3455,651.21,524.96,436193.75
North America,Greenland,Snacks,Offline,850016772,7707,152.58,97.44,424963.98
Central America and the Caribbean,The Bahamas,Vegetables,Offline,176630818,7839,154.06,90.93,494876.07
Middle East and North Africa,Afghanistan,Meat,Offline,602715384,5731,421.89,364.69,327813.2
Middle East and North Africa,Somalia,Personal Care,Online,367381799,5293,81.73,56.67,132642.58
Middle East and North Africa,Azerbaijan,Fruits,Online,480053889,7469,9.33,6.92,18000.29
Asia,Tajikistan,Office Supplies,Offline,670467984,5231,651.21,524.96,660413.75
Sub-Saharan Africa,Djibouti,Personal Care,Online,738672912,8584,81.73,56.67,215115.04
Europe,Slovenia,Clothes,Offline,105030000,9566,109.28,35.84,702527.04
Europe,Belgium,Beverages,Online,960213077,7242,47.45,31.79,113409.72
Australia and Oceania,Australia,Cereal,Online,615208470,2713,205.7,117.11,240344.67
North America,Greenland,Cosmetics,Offline,951315009,4106,437.2,263.33,713910.22
Middle East and North Africa,Lebanon,Beverages,Offline,770144021,1585,47.45,31.79,24821.1
Europe,Hungary,Cosmetics,Offline,743619334,2341,437.2,263.33,407029.67
Europe,Ireland,Office Supplies,Offline,263977277,5597,651.21,524.96,706621.25
Australia and Oceania,Papua New Guinea,Vegetables,Offline,593766677,7609,154.06,90.93,480356.17
Sub-Saharan Africa,The Gambia,Office Supplies,Offline,815848863,6663,651.21,524.96,841203.75
Sub-Saharan Africa,Guinea,Cereal,Online,983397662,8076,205.7,117.11,715452.84
Sub-Saharan Africa,Tanzania,Household,Offline,769899404,9197,668.27,502.54,1524218.81
Europe,Montenegro,Office Supplies,Offline,819152915,4406,651.21,524.96,556257.5
Central America and the Caribbean,Cuba,Meat,Offline,495269525,113,421.89,364.69,6463.6
Sub-Saharan Africa,Uganda,Cereal,Offline,132673060,9762,205.7,117.11,864815.58
Sub-Saharan Africa,South Sudan,Cereal,Online,586099851,8825,205.7,117.11,781806.75
Europe,France,Personal Care,Offline,980598723,9808,81.73,56.67,245788.48
Asia,Malaysia,Fruits,Offline,961531007,7247,9.33,6.92,17465.27
Middle East and North Africa,Jordan,Cosmetics,Offline,244570529,2709,437.2,263.33,471013.83
Sub-Saharan Africa,Cote d'Ivoire,Snacks,Online,865703618,9793,152.58,97.44,539986.02
Asia,Singapore,Baby Food,Online,431229102,9129,255.28,159.42,875105.94
Central America and the Caribbean,Saint Kitts and Nevis ,Cereal,Offline,667758309,3378,205.7,117.11,299257.02
Asia,China,Household,Online,672215068,2232,668.27,502.54,369909.36
Sub-Saharan Africa,Senegal,Cosmetics,Online,961835706,7414,437.2,263.33,1289072.18
Asia,Tajikistan,Beverages,Offline,324169051,7681,47.45,31.79,120284.46
Sub-Saharan Africa,Burundi,Baby Food,Offline,767076432,3817,255.28,159.42,365897.62
Sub-Saharan Africa,Mauritius ,Snacks,Online,768731677,3641,152.58,97.44,200764.74
Sub-Saharan Africa,Botswana,Vegetables,Offline,227621114,7001,154.06,90.93,441973.13
Sub-Saharan Africa,Liberia,Personal Care,Offline,912543570,776,81.73,56.67,19446.56
Central America and the Caribbean,Honduras,Office Supplies,Offline,612610375,3878,651.21,524.96,489597.5
Australia and Oceania,Papua New Guinea,Snacks,Offline,787245357,2250,152.58,97.44,124065
Central America and the Caribbean,Costa Rica,Meat,Offline,716184842,3865,421.89,364.69,221078
North America,Canada,Cosmetics,Offline,649477660,3727,437.2,263.33,648013.49
Sub-Saharan Africa,Rwanda,Office Supplies,Offline,457485139,8874,651.21,524.96,1120342.5
Sub-Saharan Africa,Togo,Beverages,Offline,980881106,3372,47.45,31.79,52805.52
Australia and Oceania,Samoa ,Beverages,Offline,880651891,3319,47.45,31.79,51975.54
Sub-Saharan Africa,Eritrea,Baby Food,Offline,688096320,1847,255.28,159.42,177053.42
Sub-Saharan Africa,Guinea,Vegetables,Offline,554825723,4116,154.06,90.93,259843.08
Australia and Oceania,Vanuatu,Fruits,Offline,702763926,2318,9.33,6.92,5586.38
Europe,Andorra,Clothes,Offline,974147260,677,109.28,35.84,49718.88
Sub-Saharan Africa,Niger,Cosmetics,Offline,381524550,448,437.2,263.33,77893.76
Sub-Saharan Africa,Malawi,Fruits,Online,257757127,4917,9.33,6.92,11849.97
Sub-Saharan Africa,Burundi,Baby Food,Online,206018817,4401,255.28,159.42,421879.86
Sub-Saharan Africa,Swaziland,Vegetables,Offline,349795949,1249,154.06,90.93,78849.37
Middle East and North Africa,Morocco,Beverages,Offline,882887351,4842,47.45,31.79,75825.72
Europe,Finland,Office Supplies,Online,719404351,6589,651.21,524.96,831861.25
Europe,Georgia,Personal Care,Offline,643770778,4934,81.73,56.67,123646.04
Middle East and North Africa,Morocco,Clothes,Online,160722959,350,109.28,35.84,25704
Europe,Armenia,Meat,Offline,645309722,342,421.89,364.69,19562.4
Sub-Saharan Africa,Malawi,Cosmetics,Offline,392892396,4446,437.2,263.33,773026.02
Europe,Malta,Cereal,Offline,469144809,9229,205.7,117.11,817597.11
Sub-Saharan Africa,Angola,Vegetables,Offline,660053288,3291,154.06,90.93,207760.83
Europe,Norway,Cosmetics,Online,821916663,2260,437.2,263.33,392946.2
Central America and the Caribbean,Dominican Republic,Personal Care,Online,431346261,3799,81.73,56.67,95202.94
Europe,Austria,Household,Offline,835265910,2599,668.27,502.54,430732.27
Central America and the Caribbean,Saint Kitts and Nevis ,Cosmetics,Online,300911939,5384,437.2,263.33,936116.08
Asia,Tajikistan,Cereal,Offline,765833175,5910,205.7,117.11,523566.9
Asia,Singapore,Baby Food,Offline,187890946,9961,255.28,159.42,954861.46
Europe,Greece,Household,Online,195259082,356,668.27,502.54,58999.88
North America,United States of America,Personal Care,Offline,236423909,1943,81.73,56.67,48691.58
Sub-Saharan Africa,Central African Republic,Meat,Offline,730184257,6603,421.89,364.69,377691.6
Sub-Saharan Africa,The Gambia,Meat,Online,815651452,8245,421.89,364.69,471614
Asia,North Korea,Fruits,Online,602249324,7813,9.33,6.92,18829.33
Sub-Saharan Africa,Madagascar,Snacks,Offline,719714200,8280,152.58,97.44,456559.2
Central America and the Caribbean,El Salvador,Personal Care,Online,968094909,9652,81.73,56.67,241879.12
Australia and Oceania,New Zealand,Office Supplies,Offline,767752778,3963,651.21,524.96,500328.75
Sub-Saharan Africa,The Gambia,Household,Online,509361636,282,668.27,502.54,46735.86
Sub-Saharan Africa,Liberia,Baby Food,Offline,203907811,9707,255.28,159.42,930513.02
Middle East and North Africa,Oman,Personal Care,Offline,832690131,369,81.73,56.67,9247.14
Asia,Singapore,Baby Food,Offline,297319924,2428,255.28,159.42,232748.08
Sub-Saharan Africa,Tanzania,Cereal,Offline,169721019,3076,205.7,117.11,272502.84
Australia and Oceania,Marshall Islands,Office Supplies,Offline,742129743,1537,651.21,524.96,194046.25
Australia and Oceania,Papua New Guinea,Clothes,Offline,577094924,4067,109.28,35.84,298680.48
Central America and the Caribbean,Grenada,Vegetables,Online,557477891,8951,154.06,90.93,565076.63
Sub-Saharan Africa,Seychelles ,Clothes,Online,736452472,1507,109.28,35.84,110674.08
Central America and the Caribbean,Saint Lucia,Fruits,Offline,787504994,9083,9.33,6.92,21890.03
Middle East and North Africa,Turkey,Fruits,Online,454434287,6059,9.33,6.92,14602.19
Sub-Saharan Africa,Sierra Leone,Household,Online,901351678,8846,668.27,502.54,1466047.58
Asia,Laos,Beverages,Online,662680995,888,47.45,31.79,13906.08
Europe,Cyprus,Clothes,Online,593158566,7656,109.28,35.84,562256.64
Europe,Serbia,Vegetables,Offline,717833220,1657,154.06,90.93,104606.41
Europe,Belgium,Vegetables,Online,682066285,7426,154.06,90.93,468803.38
Sub-Saharan Africa,Zimbabwe,Clothes,Online,201531589,6530,109.28,35.84,479563.2
Europe,Greece,Cereal,Online,412215459,2569,205.7,117.11,227587.71
Asia,South Korea,Cosmetics,Offline,720416724,6173,437.2,263.33,1073299.51
Europe,Bosnia and Herzegovina,Office Supplies,Offline,152746713,2,651.21,524.96,252.5
Sub-Saharan Africa,Mauritius ,Office Supplies,Offline,506129252,3748,651.21,524.96,473185
Middle East and North Africa,Israel,Meat,Online,497800672,9136,421.89,364.69,522579.2
Europe,Italy,Cereal,Online,715309798,4920,205.7,117.11,435862.8
Europe,Belarus,Fruits,Online,466517961,1886,9.33,6.92,4545.26
Middle East and North Africa,Iran,Fruits,Online,929598987,7853,9.33,6.92,18925.73
Middle East and North Africa,Jordan,Fruits,Online,203039205,2667,9.33,6.92,6427.47
Sub-Saharan Africa,South Africa,Cosmetics,Online,955637443,3210,437.2,263.33,558122.7
Sub-Saharan Africa,Benin,Beverages,Online,976505029,8393,47.45,31.79,131434.38
Europe,Latvia,Meat,Offline,825065791,4157,421.89,364.69,237780.4
Sub-Saharan Africa,Lesotho,Meat,Offline,681056058,8477,421.89,364.69,484884.4
Australia and Oceania,Fiji,Clothes,Online,794524657,6357,109.28,35.84,466858.08
Sub-Saharan Africa,Niger,Clothes,Offline,135832917,4834,109.28,35.84,355008.96
Sub-Saharan Africa,Swaziland,Fruits,Offline,445654666,7974,9.33,6.92,19217.34
Europe,Iceland,Office Supplies,Online,384976232,1877,651.21,524.96,236971.25
Australia and Oceania,New Zealand,Baby Food,Offline,485096442,9672,255.28,159.42,927157.92
Middle East and North Africa,Lebanon,Beverages,Offline,897626626,6521,47.45,31.79,102118.86
Asia,South Korea,Clothes,Online,944490611,4615,109.28,35.84,338925.6
Europe,Hungary,Office Supplies,Offline,467924726,8179,651.21,524.96,1032598.75
Europe,Greece,Cereal,Offline,280477797,8468,205.7,117.11,750180.12
Middle East and North Africa,Iran,Household,Online,815011155,8767,668.27,502.54,1452954.91
Europe,Bulgaria,Fruits,Online,774698626,9394,9.33,6.92,22639.54
Middle East and North Africa,Egypt,Meat,Online,283026540,2697,421.89,364.69,154268.4
Central America and the Caribbean,The Bahamas,Vegetables,Online,433793723,8057,154.06,90.93,508638.41
Middle East and North Africa,Azerbaijan,Fruits,Offline,141111505,6885,9.33,6.92,16592.85
Asia,Kazakhstan,Baby Food,Offline,189403712,7622,255.28,159.42,730644.92
Middle East and North Africa,Jordan,Baby Food,Online,983406674,743,255.28,159.42,71223.98
Australia and Oceania,Marshall Islands,Snacks,Online,298169219,3753,152.58,97.44,206940.42
Central America and the Caribbean,Barbados,Clothes,Online,929052674,6187,109.28,35.84,454373.28
Sub-Saharan Africa,Burkina Faso,Cosmetics,Online,341730868,4613,437.2,263.33,802062.31
Sub-Saharan Africa,Namibia,Cosmetics,Online,122190129,7629,437.2,263.33,1326454.23
Australia and Oceania,East Timor,Beverages,Offline,126729285,867,47.45,31.79,13577.22
Sub-Saharan Africa,Liberia,Meat,Offline,731959664,1985,421.89,364.69,113542
Central America and the Caribbean,Haiti,Baby Food,Offline,584805095,5678,255.28,159.42,544293.08
Europe,Slovenia,Cereal,Online,652501904,8668,205.7,117.11,767898.12
Sub-Saharan Africa,Zimbabwe,Snacks,Online,172598922,4711,152.58,97.44,259764.54
Middle East and North Africa,Syria,Clothes,Online,702957475,9593,109.28,35.84,704509.92
Middle East and North Africa,Turkey,Household,Online,271751391,6130,668.27,502.54,1015924.9
Central America and the Caribbean,El Salvador,Cereal,Online,127467000,9173,205.7,117.11,812636.07
Europe,Bulgaria,Household,Online,688903129,600,668.27,502.54,99438
Europe,Finland,Personal Care,Online,195171105,4322,81.73,56.67,108309.32
Asia,Brunei,Meat,Online,555694758,1283,421.89,364.69,73387.6
North America,Greenland,Office Supplies,Online,600210416,4455,651.21,524.96,562443.75
Europe,Vatican City,Household,Offline,128766906,3844,668.27,502.54,637066.12
Europe,San Marino,Vegetables,Offline,361725556,1485,154.06,90.93,93748.05
Europe,Armenia,Personal Care,Online,789760196,6447,81.73,56.67,161561.82
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Online,523857152,9827,437.2,263.33,1708620.49
Australia and Oceania,Palau,Cosmetics,Offline,545315253,9756,437.2,263.33,1696275.72
Asia,Laos,Cosmetics,Offline,555745828,6395,437.2,263.33,1111898.65
Europe,Slovakia,Cosmetics,Online,327072703,6936,437.2,263.33,1205962.32
Central America and the Caribbean,Barbados,Household,Offline,151532208,603,668.27,502.54,99935.19
Asia,India,Fruits,Offline,391673171,3650,9.33,6.92,8796.5
Europe,Switzerland,Vegetables,Online,130356919,4364,154.06,90.93,275499.32
Asia,Cambodia,Personal Care,Offline,320757281,8062,81.73,56.67,202033.72
Europe,Portugal,Cereal,Offline,636360585,2093,205.7,117.11,185418.87
Asia,Turkmenistan,Cosmetics,Online,820965659,837,437.2,263.33,145529.19
Middle East and North Africa,Oman,Cereal,Online,238683831,705,205.7,117.11,62455.95
Europe,Belarus,Beverages,Online,123938930,5138,47.45,31.79,80461.08
Sub-Saharan Africa,Mozambique,Personal Care,Online,431467282,9612,81.73,56.67,240876.72
Sub-Saharan Africa,Botswana,Fruits,Offline,286317718,6630,9.33,6.92,15978.3
Central America and the Caribbean,Dominican Republic,Meat,Offline,233851563,729,421.89,364.69,41698.8
Sub-Saharan Africa,Comoros,Office Supplies,Offline,889742648,3476,651.21,524.96,438845
Asia,Kyrgyzstan,Meat,Online,689977300,8471,421.89,364.69,484541.2
Asia,Laos,Meat,Online,840854346,6342,421.89,364.69,362762.4
Asia,Japan,Beverages,Online,368985116,9750,47.45,31.79,152685
Sub-Saharan Africa,Burkina Faso,Vegetables,Online,171293437,8389,154.06,90.93,529597.57
Central America and the Caribbean,Costa Rica,Baby Food,Offline,765015637,3982,255.28,159.42,381714.52
Sub-Saharan Africa,Comoros,Vegetables,Online,937700545,5284,154.06,90.93,333578.92
Australia and Oceania,Palau,Personal Care,Offline,897209489,3081,81.73,56.67,77209.86
Central America and the Caribbean,Grenada,Beverages,Online,921716296,5189,47.45,31.79,81259.74
Sub-Saharan Africa,Guinea,Vegetables,Offline,909707295,1459,154.06,90.93,92106.67
Asia,Cambodia,Beverages,Offline,829981315,8770,47.45,31.79,137338.2
Sub-Saharan Africa,Kenya,Personal Care,Online,271649682,6032,81.73,56.67,151161.92
Sub-Saharan Africa,Swaziland,Fruits,Online,694136226,9189,9.33,6.92,22145.49
Asia,South Korea,Personal Care,Online,477177274,6214,81.73,56.67,155722.84
Europe,Kosovo,Office Supplies,Offline,770821654,2112,651.21,524.96,266640
Sub-Saharan Africa,Swaziland,Fruits,Online,545430696,3918,9.33,6.92,9442.38
Australia and Oceania,Federated States of Micronesia,Clothes,Online,641678225,5701,109.28,35.84,418681.44
Sub-Saharan Africa,Nigeria,Cosmetics,Online,620550572,3559,437.2,263.33,618803.33
Middle East and North Africa,Saudi Arabia,Cosmetics,Online,113346564,622,437.2,263.33,108147.14
Sub-Saharan Africa,Central African Republic,Clothes,Online,171677529,2051,109.28,35.84,150625.44
Middle East and North Africa,Iraq,Office Supplies,Online,117467296,38,651.21,524.96,4797.5
Europe,United Kingdom,Cosmetics,Online,692952191,8807,437.2,263.33,1531273.09
Australia and Oceania,New Zealand,Cosmetics,Offline,910681045,9613,437.2,263.33,1671412.31
Central America and the Caribbean,Haiti,Vegetables,Online,303515183,5742,154.06,90.93,362492.46
Australia and Oceania,Vanuatu,Household,Online,274628436,7512,668.27,502.54,1244963.76
Europe,Ukraine,Beverages,Offline,947507131,7271,47.45,31.79,113863.86
Australia and Oceania,Papua New Guinea,Beverages,Offline,715950095,4398,47.45,31.79,68872.68
Asia,Japan,Fruits,Offline,294068658,306,9.33,6.92,737.46
Sub-Saharan Africa,Malawi,Personal Care,Offline,466286647,3436,81.73,56.67,86106.16
Middle East and North Africa,Qatar,Meat,Offline,737340390,4262,421.89,364.69,243786.4
Sub-Saharan Africa,Botswana,Office Supplies,Offline,682278716,289,651.21,524.96,36486.25
Europe,Ireland,Personal Care,Offline,396462953,1053,81.73,56.67,26388.18
Asia,Bangladesh,Meat,Online,945566928,3121,421.89,364.69,178521.2
Asia,South Korea,Cosmetics,Online,315576970,5093,437.2,263.33,885519.91
Europe,Russia,Beverages,Offline,162791907,2598,47.45,31.79,40684.68
Asia,North Korea,Household,Online,863823068,3297,668.27,502.54,546411.81
Asia,Bangladesh,Meat,Online,165594279,1882,421.89,364.69,107650.4
Europe,Luxembourg,Cosmetics,Online,835341870,5077,437.2,263.33,882737.99
Sub-Saharan Africa,Guinea-Bissau,Clothes,Offline,310614669,6638,109.28,35.84,487494.72
Europe,Norway,Household,Offline,149274003,2350,668.27,502.54,389465.5
Middle East and North Africa,Libya,Beverages,Offline,179493701,5030,47.45,31.79,78769.8
Sub-Saharan Africa,Chad,Clothes,Online,749760091,9527,109.28,35.84,699662.88
Australia and Oceania,Tonga,Baby Food,Offline,478872001,7721,255.28,159.42,740135.06
Australia and Oceania,Tonga,Beverages,Online,305940759,3524,47.45,31.79,55185.84
Asia,India,Beverages,Online,340390193,7877,47.45,31.79,123353.82
Europe,Estonia,Cosmetics,Offline,311956632,3755,437.2,263.33,652881.85
Europe,Ukraine,Baby Food,Offline,920688903,1161,255.28,159.42,111293.46
Asia,Laos,Meat,Online,686948335,2133,421.89,364.69,122007.6
Sub-Saharan Africa,South Africa,Household,Offline,901408755,5737,668.27,502.54,950793.01
Sub-Saharan Africa,Republic of the Congo,Meat,Online,675056493,3072,421.89,364.69,175718.4
Sub-Saharan Africa,Guinea,Beverages,Offline,989190375,2269,47.45,31.79,35532.54
Asia,Nepal,Household,Offline,645421731,3488,668.27,502.54,578066.24
Asia,Vietnam,Meat,Online,315674388,3921,421.89,364.69,224281.2
Middle East and North Africa,Tunisia ,Cereal,Offline,292184674,2793,205.7,117.11,247431.87
Middle East and North Africa,Algeria,Baby Food,Offline,937501418,6358,255.28,159.42,609477.88
Europe,San Marino,Personal Care,Online,434485948,2902,81.73,56.67,72724.12
Middle East and North Africa,Somalia,Personal Care,Offline,636312091,7743,81.73,56.67,194039.58
Europe,Estonia,Baby Food,Offline,316466176,8229,255.28,159.42,788831.94
Asia,Malaysia,Vegetables,Offline,118747031,8740,154.06,90.93,551756.2
Central America and the Caribbean,Nicaragua,Household,Online,307265985,5688,668.27,502.54,942672.24
Central America and the Caribbean,Cuba,Cereal,Offline,316446864,2514,205.7,117.11,222715.26
Europe,Kosovo,Household,Online,101025998,4693,668.27,502.54,777770.89
Australia and Oceania,Fiji,Vegetables,Offline,586052215,4729,154.06,90.93,298541.77
